"id","instanceID","type","lastSeen","onOff","color","dimmer","protocolTime"
345,65537,2,1605953602,0,"f1e0b5",51,"2020-11-21T10:13:22.000Z"
346,65538,2,1605954823,0,"f1e0b5",48,"2020-11-21T10:33:43.000Z"
347,65547,2,1605917505,1,"f1e0b5",50,"2020-11-21T13:47:39.000Z"
348,65545,2,1605917476,1,"efd275",50,"2020-11-21T13:47:39.000Z"
349,65546,2,1605917497,1,"f1e0b5",50,"2020-11-21T13:47:39.000Z"
350,65546,2,1605968486,1,"f1e0b5",50,"2020-11-21T14:21:27.000Z"
351,65546,2,1605968486,1,"f1e0b5",50,"2020-11-21T14:21:37.000Z"
352,65547,2,1605968497,1,"f1e0b5",50,"2020-11-21T14:21:38.000Z"
353,65547,2,1605968497,1,"f1e0b5",50,"2020-11-21T14:21:48.000Z"
354,65546,2,1605968515,1,"f1e0b5",50,"2020-11-21T14:21:56.000Z"
355,65546,2,1605968515,1,"f1e0b5",50,"2020-11-21T14:21:59.000Z"
356,65546,2,1605968515,1,"f1e0b5",50,"2020-11-21T14:22:00.000Z"
357,65546,2,1605968515,1,"f1e0b5",50,"2020-11-21T14:22:01.000Z"
358,65546,2,1605968515,1,"f1e0b5",50,"2020-11-21T14:22:01.000Z"
359,65546,2,1605968520,1,"f1e0b5",50,"2020-11-21T14:22:01.000Z"
360,65547,2,1605968524,1,"f1e0b5",50,"2020-11-21T14:22:05.000Z"
361,65547,2,1605968524,1,"f1e0b5",50,"2020-11-21T14:22:07.000Z"
362,65547,2,1605968528,1,"f1e0b5",50,"2020-11-21T14:22:09.000Z"
363,65545,2,1605917476,1,"0",50,"2020-11-21T14:23:18.000Z"
364,65546,2,1605968520,0,"f1e0b5",50,"2020-11-21T14:23:18.000Z"
365,65547,2,1605968528,0,"f1e0b5",50,"2020-11-21T14:23:18.000Z"
366,65547,2,1605968528,1,"f1e0b5",50,"2020-11-21T14:23:18.000Z"
367,65546,2,1605968520,1,"f1e0b5",50,"2020-11-21T14:23:18.000Z"
368,65547,2,1605968528,1,"f1e0b5",8,"2020-11-21T14:23:18.000Z"
369,65546,2,1605968520,1,"f1e0b5",8,"2020-11-21T14:23:18.000Z"
370,65547,2,1605968528,0,"f1e0b5",8,"2020-11-21T14:23:18.000Z"
371,65546,2,1605968520,0,"f1e0b5",8,"2020-11-21T14:23:18.000Z"
372,65545,2,1605917476,1,"efd275",50,"2020-11-21T14:23:19.000Z"
373,65545,2,1605917476,0,"efd275",50,"2020-11-21T14:23:19.000Z"
374,65546,2,1605968520,1,"f1e0b5",8,"2020-11-21T14:23:19.000Z"
375,65547,2,1605968528,1,"f1e0b5",8,"2020-11-21T14:23:19.000Z"
376,65546,2,1605968520,0,"f1e0b5",8,"2020-11-21T14:23:21.000Z"
